clipfrac,total_timesteps,time_elapsed,fps,policy_loss,eplenmean,policy_entropy,approxkl,nupdates,value_loss,explained_variance,serial_timesteps,eprewmean
0.026367188,2342912,1685.148453950882,1410,0.001226531,1996.45,0.284089,0.00056261953,143,3262.4048,0.984177976846695,292864,-28072.368612889997
0.06964111,2359296,1697.0613179206848,1375,0.0051000803,1915.06,0.38906106,0.0021655965,144,4124.6753,0.9835166912525892,294912,-27782.012314210002
0.07621765,2375680,1708.71937417984,1405,0.0063621504,2008.84,0.47879025,0.0028878362,145,3673.1885,0.9823824781924486,296960,-27620.611086780005
0.04182434,2392064,1720.5114691257477,1389,0.0025945846,1960.64,0.34000498,0.0010230497,146,3684.117,0.9855270460247993,299008,-27727.04664938
0.05026245,2408448,1731.9970026016235,1426,0.0027048083,1967.39,0.3803753,0.0012040136,147,4010.9211,0.9820133093744516,301056,-27576.344743459995
0.045898438,2424832,1744.0327904224396,1361,0.0017620309,1869.32,0.47256434,0.001066522,148,5534.875,0.9794095084071159,303104,-27428.433158220003
0.026687622,2441216,1756.1940133571625,1347,0.0008458678,1816.04,0.44602776,0.0005028969,149,4580.112,0.9806239195168018,305152,-27387.898309540004
0.021591187,2457600,1767.545243024826,1443,0.0010631597,1740.69,0.28069004,0.00044070213,150,3498.607,0.9842028915882111,307200,-27324.03618317
0.031585693,2473984,1779.1369607448578,1413,0.0022255068,1648.51,0.38585815,0.00086289406,151,4428.5073,0.9829594772309065,309248,-27405.582309730005
0.023788452,2490368,1790.9710609912872,1384,0.0004094686,1593.64,0.37165084,0.00042932708,152,4353.91,0.9825996458530426,311296,-27275.157304409997
0.06048584,2506752,1803.0989191532135,1350,0.0027974045,1648.55,0.46212664,0.0016265161,153,5161.9087,0.9813617821782827,313344,-27509.601721820003
0.038024902,2523136,1815.125834941864,1362,0.001561875,1436.82,0.491048,0.000912918,154,4036.0088,0.9826239366084337,315392,-27471.17976724
0.019515991,2539520,1827.3366935253143,1341,0.00076817145,1409.47,0.38864177,0.00039506616,155,5539.6323,0.9795762244611979,317440,-27141.438426900004
0.022918701,2555904,1839.0865297317505,1394,0.0011052833,1363.14,0.34192687,0.00052349037,156,4824.221,0.9831479601562023,319488,-27692.439207140003
0.08074951,2572288,1850.710275888443,1409,0.009797172,1426.65,0.50439715,0.0048766346,157,4290.5713,0.9824446216225624,321536,-27618.31347737
0.053771973,2588672,1862.942257642746,1339,0.0033106364,1473.77,0.41319996,0.0014180973,158,4814.002,0.9816334340721369,323584,-27741.28336648
0.05241394,2605056,1874.4974863529205,1417,0.002358153,1503.79,0.6068942,0.0012622385,159,4022.559,0.9851606460288167,325632,-27643.057223609998
0.03237915,2621440,1886.8548798561096,1325,0.0007274718,1472.97,0.45542118,0.0005765093,160,5604.5146,0.9808413162827492,327680,-27434.152710119997
0.061843872,2637824,1898.893750667572,1360,0.004569042,1501.69,0.5058731,0.002344478,161,4557.628,0.9842301048338413,329728,-27392.38818246
0.08068848,2654208,1910.6913347244263,1388,0.008428203,1455.36,0.42511934,0.0034834298,162,4521.5083,0.9825390335172415,331776,-27054.19677201
0.023620605,2670592,1922.740792274475,1359,0.00097559486,1479.72,0.44668865,0.00056267116,163,4775.9326,0.9833833333104849,333824,-27025.216598040002
0.07922363,2686976,1934.1937448978424,1430,0.007988224,1521.17,0.52972764,0.0039200447,164,4673.7456,0.9850387768819928,335872,-27237.628414240004
0.028015137,2703360,1945.3530724048615,1468,0.00059216237,1534.65,0.34021375,0.0007650817,165,4031.1074,0.9840847998857498,337920,-27234.230047759997
0.043182373,2719744,1957.036536693573,1402,0.003394853,1582.92,0.44068575,0.001370387,166,4253.245,0.9831625707447529,339968,-27045.498635000004
0.043121338,2736128,1968.6568176746368,1410,0.0033927,1542.15,0.2806414,0.0012878487,167,4844.003,0.9841652289032936,342016,-27121.474282370003
0.022277832,2752512,1979.5901584625244,1498,0.0011935459,1573.45,0.20738146,0.00050564785,168,3458.7944,0.9859134815633297,344064,-27277.32187061
0.024887085,2768896,1989.164077758789,1711,0.00075402495,1589.7,0.18770966,0.00070867356,169,1249.056,0.9843281973153353,346112,-27375.936056419996
0.06604004,2785280,2000.2530295848846,1477,0.007710562,1695.23,0.30348068,0.0034008746,170,3431.8,0.9863874539732933,348160,-27560.684594379993
0.067718506,2801664,2011.5789105892181,1446,0.007607521,1722.85,0.36244106,0.0029665288,171,4235.788,0.9846740942448378,350208,-27747.44758789
0.043685913,2818048,2022.6128334999084,1484,0.0050755586,1822.62,0.30122134,0.0025010547,172,3178.528,0.9856892907992005,352256,-27807.605177289995
0.073028564,2834432,2033.2514107227325,1540,0.01539566,1831.87,0.2475896,0.009527438,173,2593.8972,0.9859823081642389,354304,-27993.143971669997
